time_s,section,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,error_x_m,error_y_m,error_z_m,position_error_m,tool_x_world_z_angle_deg,q_0_rad,q_1_rad,q_2_rad,q_3_rad,q_4_rad,q_5_rad,qvel_0_rad_s,qvel_1_rad_s,qvel_2_rad_s,qvel_3_rad_s,qvel_4_rad_s,qvel_5_rad_s,tau_0_Nm,tau_1_Nm,tau_2_Nm,tau_3_Nm,tau_4_Nm,tau_5_Nm
0.02,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-5.684341886080805e-16,-3.67660945210022e-17,5.67123446519408e-17,-1.532910034688932e-15,-2.5591732978178373e-16,-1.987651699736929e-16,0.0,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.04,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-4.7762442575823e-16,-3.089255561134823e-17,4.765230802551362e-17,-1.2880211812208734e-15,-2.1503345528514702e-16,-1.670115944325712e-16,1.1555068661409181e-14,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.06,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,2.6197830207340875e-16,1.6944651130270653e-17,-2.6137421105685798e-17,7.064831358973731e-16,1.1794643754902186e-16,9.160631570833319e-17,9.709097631014853e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.08,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-2.3003088607454535e-16,-1.4878305122491417e-17,2.295004620252479e-17,-6.203297771646836e-16,-1.0356324674222636e-16,-8.043521851098393e-17,-5.325466569261396e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.1,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-6.616041985715925e-17,-4.279229326395869e-18,6.6007861744616246e-18,-1.7841638228445604e-16,-2.9786382181808317e-17,-2.3134405639180516e-17,4.6760429546732834e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.12000000000000001,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-3.602786112397939e-16,-2.3302675560689523e-17,3.594478513226886e-17,-9.715719242813382e-16,-1.6220266481815888e-16,-1.2597912095385197e-16,1.3449018539669518e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.14,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-1.0287851090083703e-15,-6.654140675848829e-17,1.0264128520794078e-16,-2.774349342004094e-15,-4.631740020095992e-16,-3.597367138651109e-16,7.323704614437505e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.16,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-3.448960660506049e-16,-2.2307738729419426e-17,3.441007764655342e-17,-9.300894477657998e-16,-1.5527721950019645e-16,-1.2060028507375847e-16,2.091303234510997e-14,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.18,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-5.990986482910388e-16,-3.8749459430667486e-17,5.977171975807762e-17,-1.6156036145233973e-15,-2.6972291501669105e-16,-2.0948765405924398e-16,7.01100990076528e-15,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
0.19999999999999998,start_hold,0.4,-0.25,0.45,0.39999999610367454,-0.24999999904740577,0.450000000540846,-3.896325484475938e-09,9.525942257226916e-10,5.408459791134135e-10,4.047382167893219e-09,8.537736462515939e-07,-0.8642435983452302,0.22235846545888183,-2.403150631607458,1.2223766980551147,-1.7621350728461056,0.48230922692753614,-3.0040768569603787e-16,-1.9430248194925793e-17,2.997149810605637e-17,-8.101165713285701e-16,-1.3524790434845228e-16,-1.0504397150176355e-16,1.217841247886907e-14,-23.57581864983056,10.542860531464793,0.4793398288560665,-0.07845407070497257,-0.0004913447836627505
